Authors;Title;Abstract;Author Keywords
"De Benedictis A., Rak M., Turtur M., Villano U.";"REST-based SLA management for cloud applications";"In cloud computing, possible risks linked to availability, performance and security can be mitigated by the adoption of Service Level Agreements (SLAs) formally agreed upon by cloud service providers and their users. This paper presents the design of services for the management of cloud-oriented SLAs that hinge on the use of a REST-based API. Such services can be easily integrated into existing cloud applications, platforms and infrastructures, in order to support SLA-based cloud services delivery. After a discussion on the SLA life-cycle, an agreement protocol state diagram is introduced. It takes explicitly into account negotiation, remediation and renegotiation issues, is compliant with all the active standards, and is compatible with the WS-Agreement standard. The requirement analysis and the design of a solution able to support the proposed SLA protocol is presented, introducing the REST API used. This API aims at being the basis for a framework to build SLA-based applications. © 2015 IEEE.";"API, Cloud, REST, SLA, WS-Agreement"
"Tang X.";"Attention, test code is low-quality!";"In this paper, we describe the formatting guidelines for ACM SIG Proceedings. Software testing is an essential process during software development and maintenance for improving software quality. Test code, the artefact during software testing, has been widely used in many software quality assurance techniques. Traditionally, software quality assurance techniques, e.g., automatic bug repair, fault localization, test case prioritization, and mining API usage from test code are based on the hypothesis of a sound quality of the test code. However, via empirical study on four open source projects, we found that the quality of test code is quite low comparing with corresponding source code, and this might hurt the above software quality assurance techniques. In this paper, we studied more than 140,000 LOC(lines of code) test code from four large scale and widely used open source projects and found that it is common for test code to be unregulated and of low-quality in open source projects. First, the comment clone ratio, unreleased resource ratio and clone code ratio of test code is much higher than that of corresponding source code, second, bug-fixed coverage is down to 0. We have learned the following lessons: the quality of test code is quite low comparing with corresponding source code, and the low quality test code may misguide existing software quality assurance techniques. Categories and Subject Descriptors D.2.5 [Software Engineering]: [Testing and Debugging] General Terms Experimentation, Measurement. © 2015 for this paper by its authors.";"Empirical study, Software quality assurance, Test code quality, Testing"
"Svajlenko J., Keivanloo I., Roy C.K.";"Big data clone detection using classical detectors: an exploratory study";"Big data analysis is an emerging research topic in various domains, and clone detection is no exception. The goal is to create big data inter-project clone corpora across open-source or corporate-source code repositories. Such corpora can be used to study developer behavior and to reduce engineering costs by extracting globally duplicated efforts into new APIs and as a basis for code completion and API usage support. However, building scalable clone detection tools is challenging. It is often impractical to use existing state-of-the-art tools to analyze big data because the memory and execution time required exceed the average user's resources. Some tools have inherent limitations in their data structures and algorithms that prevent the analysis of big data even when extraordinary resources are available. These limitations are impossible to overcome if the source code of the tool is unavailable or if the user lacks the time or expertise to modify the tool without harming its performance or accuracy. In this research, we have investigated the use of our shuffling framework for scaling classical clone detection tools to big data. The framework achieves scalability on commodity hardware by partitioning the input dataset into subsets manageable by the tool and computing resources. A non-deterministic process is used to randomly ‘shuffle’ the contents of the dataset into a series of subsets. The tool is executed for each subset, and its output for each is merged into a single report. This approach does not require modification to the subject tools, allowing their individual strengths and precision to be captured at an acceptable loss of recall. In our study, we explored the performance and applicability of the framework for the big data dataset, IJaDataset 2.0, which consists of 356 million lines of code from 25,000 open-source Java projects. We begin with a computationally inexpensive version of our framework based on pure random shuffling. This version was successful at scaling the tools to IJaDataset but required many subsets to achieve a desirable recall. Using our findings, we incrementally improved the framework to achieve a satisfactory recall using fewer resources. We investigated the use of efficient file tracking and file-similarity heuristics to bias the shuffling algorithm toward subsets of the dataset that contain undetected clone pairs. These changes were successful in improving the recall performance of the framework. Our study shows that the framework is able to achieve up to 90–95% of a tool's native recall using standard hardware. Copyright © 2014 John Wiley & Sons, Ltd. Copyright © 2014 John Wiley & Sons, Ltd.";"big data, clone corpus, clone detection, scalability, shuffling framework"
"Honko H., Andalibi V., Aaltonen T., Parak J., Saaranen M., Viik J., Korhonen I.";"W2E-Wellness warehouse engine for semantic interoperability of consumer health data";"Novel health monitoring devices and applications allow consumers easy and ubiquitous ways to monitor their health status. However, technologies from different providers lack both technical and semantic interoperability and hence the resulting health data is often deeply tied to a specific service, which is limiting its re-usability and utilization in different services. We have designed a Wellness Warehouse Engine (W2E) that bridges this gap and enables seamless exchange of data between different services. W2E provides interfaces to various data sources and makes data available via unified Representational State Transfer Application Programming Interface (REST API) to other services. Importantly, it includes Unifier - an engine that allows transforming input data into generic units re-usable by other services, and Analyzer - an engine that allows advanced analysis of input data, such as combining different data sources into new output parameters. In this paper, we describe the architecture of W2E and demonstrate its applicability by using it for unifying data from four consumer activity trackers, using a test base of 20 subjects each carrying out three different tracking sessions. Finally, we discuss challenges of building a scalable Unifier engine for the ever-enlarging number of new devices. © 2015 IEEE.";"Data Unification, Data Warehousing, Energy Expenditure, Physical Activity, Semantic Interoperability."
"Weiss J.M.";"Comparison of POSIX threads, OpenMP and C++11 concurrency frameworks";"Multi-core architectures have become the norm on highend computing devices, from desktop computers to tablets to cell phones. In order to take full advantage of parallelism, it is essential to write multithreaded applications. In the past, parallel processing in C++ was been restricted to external libraries. But the C++11 release introduces concurrency constructs into the language itself, providing benefits to software development, optimization, and portability. This paper compares performance and usability of the new C++11 concurrency interface to two widely-used external parallel processing libraries: POSIX threads and OpenMP. Copyright © 2015 by The International Society for Computers and Their Applications (ISCA)."
"Alotaibi H.M., Alamer R.A., Al-Khalifa H.S.";"MLab: A mobile language learning lab system for language learners";"This paper describes the design and development of a mobile language lab system called MLab. The MLab system aims to replace the traditional language lab—which typically has a restrictive layout and lacks interaction—with a more user-friendly, low-cost mobile language lab. The target users of MLab are language teachers and students, and the system offers them the freedom to move around and use their own devices at any time and in any place. The MLab system was developed using several web technologies and Application Programming Interface (API) to provide a fast and convenient method of accessing required content. To evaluate the MLab system, a pilot test was conducted with a class of 15 students and their teacher. The results showed high usability rates and generally positive attitudes toward using the system. © 2015, J.UCS.";"Language lab, Language teaching, MALL, Mobile lab, Web technologies"
"Joe W., Lee J., Jeong K.";"CSN: The conceptually manageable sensor network";"For the last decade, computer science and information technology have been rapidly expanding their application areas from computation and data processing inside computers to the real time monitoring and management of the real world outside computers. For those emerging applications such as Internet of Things, the flexible, scalable, and interoperable, collaborating sensor networks are crucial. In this paper, we present a sensor network system called the conceptually manageable sensor network (CSN). CSN is intended to support the conceptual management and integration of sensor networks and to provide well-defined and logical APIs for the facilitation of application development. The CSN design is based on the simple and intuitive conceptual model: sets and message queues. In order to minimize the system development efforts and to inherit the system quality of production level open source software, the CSN system is intentionally implemented as a set of extensions to the open source messaging system called ActiveMQ. We conducted some preliminary usability and performance tests for the current CSN implementation. For the usability test, we used data sets from a real world project for the energy-efficient management of Indoor Air Quality in subway stations. Both usability and performance tests showed promising results. © 2015 Woojin Joe et al."
"Chakroun I., Vander Aa T., De Fraine B., Haber T., Wuyts R., Demeuter W.";"ExaShark: A scalable hybrid array kit for exascale simulation";"Many problems in high-performance computing, such as stencil applications in iterative solvers or in particle-based simulations, have a need for regular distributed grids. Libraries offering such n-dimensional regular grids need to take advantage of the latest high-performance computing technologies and scale to exascale systems, but also need to be usable by non HPC experts. This paper presents ExaShark: a library for handling n-dimensional distributed data structures that strikes a balance between performance and usability. ExaShark is an open source middleware, offered as a library, targeted at reducing the increasing programming burden on heterogeneous current and future exascale architectures. It offers its users a global-array-like usability while its runtime can be configured to use shared memory threading techniques (Pthreads, OpenMP, TBB), inter-node distribution techniques (MPI, GPI), or combinations of both. ExaShark has been used to develop applications such as a Jacobian 2D heat simulation and advanced pipelined conjugate gradient solvers. These applications are used to demonstrate the performance and usability of ExaShark. Copyright © 2015 Society for Modeling & Simulation International (SCS).";"Exascale simulation, Middleware library, N-dimensional grids, Numerical solvers, Partitioned global address space"
"Chen L., Chen K., Shao C., Zhu P.";"SocAware: A middleware for social applications in online social networks";"The popularity of online social network (OSN) services has given rise to a variety of social network applications. However these applications lack a common platform for information sharing and people interoperating. In this paper, we propose SocAware, a middleware designed for OSN services. SocAware extracts social relation from heterogeneous networks, and builds a uniform knowledge base to manage the social information. SocAware distinguishes itself from other OSN middlewares by analyzing the OSN activities to classify the social relations, and by calculating the strength of social relations to provide reusability between social applications. We also provide a set of API to facilitate third-party application development and the effective utilization of these relations. In order to validate SocAware, we developed two prototype applications above the middleware. The experimental results demonstrate the usability and expansibility of the middleware. © 2014 IEEE.";"Middleware, Online social network, Social applications, Social relation strength"
"Brown J., Knepley M.G., Smith B.F.";"Run-time extensibility and librarization of simulation software";"Build-time configuration and environment assumptions are hampering progress and usability in scientific software. This situation, which would be utterly unacceptable in nonscientific software, somehow passes for the norm in scientific packages. The scientific software community needs reusable, easy-to-use software packages that are flexible enough to accommodate next-generation simulation and analysis demands. © 1999-2011 IEEE.";"extensible software, object-oriented, scientific computing, simulation, software composability, software library"
"Arora R., Chen K., Gupta M., Clark S., Song C.";"Leveraging diagrid hub for interactively generating and running parallel programs";"Interactive Parallelization Tool (IPT) is a semi-automatic tool that can be used by domain experts and students for transforming certain classes of existing applications into multiple parallel variants. An end-user of IPT provides existing application and high-level specifications for parallelization as input. On the basis of the specifications provided by the end-user, IPT carries out the code changes in the given existing application to generate parallel variants that can be run on different High Performance Computing (HPC) platforms. The parallel programming paradigms that are currently supported by IPT are MPI, OpenMP, and CUDA. The supported base languages are C and C++. Though IPT is still under active development, it has been recently made available on a web-enabled platform, named DiaGrid Hub, with the support from the XSEDE Extended Collaborative Support Service (ECSS). While the main goal of IPT is to make parallel programming easy for its end-users, the main goal of DiaGrid Hub is to enable the research community with instant access to HPC and High Throughput Computing platforms through a user-friendly web-interface. By deploying IPT on DiaGrid Hub, our goal is to enable the end-users to generate parallel versions of their existing applications without having to install IPT locally. They can also immediately compile and run the generated applications on Purdue and XSEDE resources that are available through DiaGrid Hub. Hence, the collaborative project that is reported in this paper lowers the entry-barriers to parallel programming and the usage of the national CyberInfrastructure (CI). In this paper, we present our ongoing work on deploying IPT over DiaGrid and testing the usability of IPT through a web-interface. Copyright © 2015 ACM.";"Diagrid, Exascale, High performance computing, Interactive parallelization, Parallel programming"
"Murukannaiah P.K., Singh M.P.";"Platys: An active learning framework for place-aware application development and its evaluation";"We introduce a high-level abstraction of location called place. A place derives its meaning from a user's physical space, activities, or social context. In this manner, place can facilitate improved user experience compared to the traditional representation of location, which is spatial coordinates. We propose the Platys framework as a way to address the special challenges of place-aware application development. The core of Platys is a middleware that (1) learns a model of places specific to each user via active learning, a machine learning paradigm that seeks to reduce the user-effort required for training the middleware, and (2) exposes the learned user-specific model of places to applications at run time, insulating application developers from dealing with both low-level sensors and user idiosyncrasies in perceiving places. We evaluated Platys via two studies. First, we collected place labels and Android phone sensor readings from 10 users. We applied Platys' active learning approach to learn each user's places and found that Platys (1) requires fewer place labels to learn a user's places with a desired accuracy than do two traditional supervised approaches, and (2) learns places with higher accuracy than two unsupervised approaches. Second, we conducted a developer study to evaluate Platys' efficiency in assisting developers and its effectiveness in enabling usable applications. In this study, 46 developers employed either Platys or the Android location API to develop a place-aware application. Our results indicate that application developers employing Platys, when compared to those employing the Android API, (1) develop a place-aware application faster and perceive reduced difficulty and (2) produce applications that are easier to understand (for developers) and potentially more usable and privacy preserving (for application users). © 2015 ACM.";"Active learning, Contextaware, Location-aware, Middleware, Mobile application development, Place recognition, Place-aware, Privacy, Semi-supervised learning, Usability"
"Lemic F., Handziski V., Wirström N., Van Haute T., De Poorter E., Voigt T., Wolisz A.";"Web-based platform for evaluation of RF-based indoor localization algorithms";"The experimental efforts for optimizing the performance of RF-based indoor localization algorithms for specific environments and scenarios is time consuming and costly. In this work, we address this problem by providing a publicly accessible platform for streamlined experimental evaluation of RF-based indoor localization algorithms, without the need of a physical testbed infrastructure. We also offer an extensive set of raw measurements that can be used as input data for indoor localization algorithms. The datasets are collected in multiple testbed environments, with various densities of measurement points, using different measuring devices and in various scenarios with controlled RF interference. The platform encompasses two core services: one focused on storage and management of raw data, and one focused on automated calculation of metrics for performance characterization of localization algorithms. Tools for visualization of the raw data, as well as software libraries for convenient access to the platform from MATLAB and Python, are also offered. By contrasting its fidelity and usability with respect to remote experiments on dedicated physical testbed infrastructure, we show that the virtual platform produces comparative performance results while offering significant reduction in the complexity, time and labor overheads. © 2015 IEEE."
"Toegl R., Winter J., Gissing M., Winkler T., Nauman M., Hong T.W.";"Programming interfaces for the TPM";"The paradigm of Trusted Computing promises a new approach to improve the security of embedded and mobile systems. The core functionality, based on a hardware component known as Trusted Platform Module (TPM), is widely available. However, integration and application in embedded systems remains limited at present, simply because of the extremely steep learning curve involved in using the programmer–facing interfaces. In this chapter, we describe the current state of the Trusted Computing Group's software architecture and present previous approaches to improve usability. We report on a novel design of a high–level API for Trusted Computing for Java which has been optimized for ease–of–use and clear abstraction of Trusted Computing concepts. We derive requirements and design goals and outline the API design. Finally, we show the application and benchmarks in embedded systems. The result of this effort has been standardized as Java Specification Request 321. © Springer International Publishing Switzerland 2015."
"Giancarlo R., Scaturro D., Utro F.";"ValWorkBench: An open source Java library for cluster validation, with applications to microarray data analysis";"The prediction of the number of clusters in a dataset, in particular microarrays, is a fundamental task in biological data analysis, usually performed via validation measures. Unfortunately, it has received very little attention and in fact there is a growing need for software tools/libraries dedicated to it. Here we present ValWorkBench, a software library consisting of eleven well known validation measures, together with novel heuristic approximations for some of them. The main objective of this paper is to provide the interested researcher with the full software documentation of an open source cluster validation platform having the main features of being easily extendible in a homogeneous way and of offering software components that can be readily re-used. Consequently, the focus of the presentation is on the architecture of the library, since it provides an essential map that can be used to access the full software documentation, which is available at the supplementary material website [1]. The mentioned main features of ValWorkBench are also discussed and exemplified, with emphasis on software abstraction design and re-usability. A comparison with existing cluster validation software libraries, mainly in terms of the mentioned features, is also offered. It suggests that ValWorkBench is a much needed contribution to the microarray software development/algorithm engineering community. For completeness, it is important to mention that previous accurate algorithmic experimental analysis of the relative merits of each of the implemented measures [19,23,25], carried out specifically on microarray data, gives useful insights on the effectiveness of ValWorkBench for cluster validation to researchers in the microarray community interested in its use for the mentioned task. © 2014 Elsevier Ireland Ltd.";"Bioinformatics software, Microarray cluster analysis, Pattern discovery in bioinformatics and biomedicine"
"Rosoiu M.-E., David J., Euzenat J.";"A linked data framework for android";"Mobile devices are becoming major repositories of personal information. Still, they do not provide a uniform manner to deal with data from both inside and outside the device. Linked data provides a uniform interface to access structured interconnected data over the web. Hence, exposing mobile phone information as linked data would improve the usability of such information. We present an API that provides data access in RDF, both within mobile devices and from the outside world. This API is based on the Android content provider API which is designed to share data across Android applications. Moreover, it introduces a transparent URI dereferencing scheme, exposing content outside of the device. As a consequence, any application may access data as linked data without any a priori knowledge of the data source. © Springer-Verlag Berlin Heidelberg 2015."
"[No author name available]";"CEUR Workshop Proceedings";"The proceedings contain 31 papers. The topics discussed include: trusted, fair multi-segment business models, enabled by a user-centric, privacy-aware platform, for a data-driven era, gamifying software development environments using cognitive principles, community-based API builder to manage APIs and their connections with cloud-based services, applying idea management system (IMS) approach to design and implement a collaborative environment in public service related open innovation processes, towards visually monitoring multiple perspectives of business process compliance, the influence of syntactic quality of enterprise process models on model comprehension, KPI-based activity planning for people working in flexible processes, usability evaluation of variability modeling by means of common variability language, patterns for identifying and structuring features from textual descriptions: an exploratory study, and a resource oriented architecture to handle data volume diversity."
"Bukhari A.C., Nagy M.L., Krauthammer M., Ciccarese P., Baker C.J.O.";"ICyrus: A semantic framework for biomedical image discovery";"Images have an irrefutably central role in scientific discovery and discourse. However, the issues associated with knowledge management and utility operations unique to image data are only recently gaining recognition. In our previous work, we have developed Yale Image finder (YIF), which is a novel Biomedical image search engine that indexes around two million biomedical image data, along with associated metadata. While YIF is considered to be a veritable source of easily accessible biomedical images, there are still a number of usability and interoperability challenges that have yet to be addressed. To overcome these issues and to accelerate the adoption of the YIF for next generation biomedical applications, we have developed a publically accessible semantic API for biomedical images with multiple modalities. The core API called iCyrus is powered by a dedicated semantic architecture that exposes the YIF content as linked data, permitting integration with related information resources and consumption by linked data-aware data services. To facilitate the adhoc integration of image data with other online data resources, we also built semantic web services for iCyrus, such that it is compatible with the SADI semantic web service framework. The utility of the combined infrastructure is illustrated with a number of compelling use cases and further extended through the incorporation of Domeo, a well known tool for open annotation. Domeo facilitates enhanced search over the images using annotations provided through crowdsourcing. The iCyrus triplestore currently holds more than thirty-five million triples and can be accessed and operated through syntactic or semantic query interfaces. Core features of the iCyrus API, namely: data reusability, system interoperability, semantic image search, automatic update and dedicated semantic infrastructure make iCyrus a state of the art resource for image data discovery and retrieval. © Copyright 2015 for the individual papers by the papers' authors.";"Interoperable web services, Linked biomedical images, Yale Image Finder"
"[No author name available]";"11th International Conference on Security and Privacy in Communication Networks, SecureComm 2015";"The proceedings contain 48 papers. The special focus in this conference is on Mobile, System and Software Security. The topics include: Enforcing permissions with system-wide application execution context, detection, classification and characterization of android malware using API data dependency, improving security and usability for provider independent login architectures with mobile devices, using provenance patterns to vet sensitive behaviors in android apps, isolated execution of sensitive components for mobile applications, intrinsic code attestation by instruction chaining for embedded devices, defeating kernel driver purifier, kernel data attack is a realistic security threat, cloud-based anti-malware via reversible sketch, mining network traffic anomalies with hadoop, a secure interface for isolated execution environment to dynamically use external services, authenticating top-k results of secure multi-keyword search in cloud computing, resource efficient privacy preservation of online social media conversations, real-time privacy leakage monitoring without system modification for android, practicality of using side-channel analysis for software integrity checking of embedded systems, remote activation of hardware trojans via a covert temperature channel, route leaks identification by detecting routing loops, stateful black-box fuzzing of proprietary network protocols, deriving behavioral fingerprints from DNS traffic, enhancing traffic analysis resistance for tor hidden services with multipath routing, an improved method for anomaly-based network scan detection, an attribute-based signcryption scheme to secure attribute-defined multicast communications, generation of transmission control rules compliant with existing access control policies and a markov random field approach to automated protocol signature inference."
"Hastings J., Haug K., Steinbeck C.";"Ten recommendations for software engineering in research";"Research in the context of data-driven science requires a backbone of well-written software, but scientific researchers are typically not trained at length in software engineering, the principles for creating better software products. To address this gap, in particular for young researchers new to programming, we give ten recommendations to ensure the usability, sustainability and practicality of research software. © 2014 Hastings et al., licensee BioMed Central Ltd.";"Best practices, Software engineering"
"Demangeon R., Honda K., Hu R., Neykova R., Yoshida N.";"Practical interruptible conversations: distributed dynamic verification with multiparty session types and Python";"The rigorous and comprehensive verification of communication-based software is an important engineering challenge in distributed systems. Drawn from our industrial collaborations (Ocean Observatories Initative, http://www.oceanobservatories.org/, JBoss Savara Project, http://www.jboss.org/savara) on Scribble, a choreography description language based on multiparty session types, and its theoretical foundations (Honda et al., in POPL, pp 273–284, 2008), this article proposes a dynamic verification framework for structured interruptible conversation programming. We first present our extension of Scribble to support the specification of asynchronously interruptible conversations. We then implement a concise API for conversation programming with interrupts in Python that enables session types properties to be dynamically verified for distributed processes. Finally, we expose the underlying theory of our interrupt mechanism, studying its syntax and semantics, its integration in MPST theory and proving the correctness of our design. Our framework ensures the global safety of a system in the presence of asynchronous interrupts through independent runtime monitoring of each endpoint, checking the conformance of the local execution trace to the specified protocol. The usability of our framework for describing and verifying choreographic communications has been tested by integration into the large scientific cyberinfrastructure developed by the Ocean Observatories Initiative. Asynchronous interrupts have proven expressive enough to represent and verify their main classes of communication patterns, including asynchronous streaming and various timeout-based protocols, without introducing any implicit synchronisations. Benchmarks show conversation programming and monitoring can be realised with little overhead. © 2014, Springer Science+Business Media New York.";"Distributed systems, Python, Runtime monitoring, Session types"
"Nguyen H.A., Dyer R., Nguyen T.N., Rajan H.";"Mining preconditions of APIs in large-scale code corpus";"Modern software relies on existing application programming interfaces (APIs) from libraries. Formal specifications for the APIs enable many software engineering tasks as well as help developers correctly use them. In this work, we mine large-scale repositories of existing open-source software to derive potential preconditions for API methods. Our key idea is that APIs' preconditions would appear frequently in an ultra-large code corpus with a large number of API usages, while project-specific conditions will occur less frequently. First, we find all client methods invoking APIs. We then compute a control dependence relation from each call site and mine the potential conditions used to reach those call sites. We use these guard conditions as a starting point to automatically infer the preconditions for each API. We analyzed almost 120 million lines of code from SourceForge and Apache projects to infer preconditions for the standard Java Development Kit (JDK) library. The results show that our technique can achieve high accuracy with recall from 75-80% and precision from 82-84%. We also found 5 preconditions missing from human written specifications. They were all confirmed by a specification expert. In a user study, participants found 82% of the mined preconditions as a good starting point for writing specifications. Using our mining result, we also built a benchmark of more than 4,000 precondition-related bugs. Copyright 2014 ACM.";"Big code mining, JML, Preconditions, Specification mining"
"David Hincapié-Ramos J., Ivanchuk L., Sridharan S.K., Irani P.";"SmartColor: Real-time color correction and contrast for optical see-through head-mounted displays";"Users of optical see-through head-mounted displays (OHMD) perceive color as a blend of the display color and the background. Color-blending is a major usability challenge as it leads to loss of color encodings and poor text legibility. Color correction aims at mitigating color blending by producing an alternative color which, when blended with the background, more closely approaches the color originally intended. To date, approaches to color correction do not yield optimal results or do not work in real-time. This paper makes two contributions. First, we present QuickCorrection, a realtime color correction algorithm based on display profiles. We describe the algorithm, measure its accuracy and analyze two implementations for the OpenGL graphics pipeline. Second, we present SmartColor, a middleware for color management of userinterface components in OHMD. SmartColor uses color correction to provide three management strategies: correction, contrast, and show-up-on-contrast. Correction determines the alternate color which best preserves the original color. Contrast determines the color which best warranties text legibility while preserving as much of the original hue. Show-up-on-contrast makes a component visible when a related component does not have enough contrast to be legible. We describe the SmartColor's architecture and illustrate the color strategies for various types of display content. © 2014 IEEE.";"Color Blending, Contrast, Correction, Head-Mounted Displays, See-through Displays, Transparency"
"Pozhidaev M.";"The framework for accessible applications: Text-based case for blind people";"This paper offers a Java framework for creating accessible applications for blind and visually impaired people as part of a proposed general conception based on the maximum use of objects filled with text data only. It offers new types of applications more easily recognizable by disabled persons, helping them to do their work faster and more comfortably. Strong and weak points are analyzed. The published prototype of the proposed platform is described as well as the conclusions of the performed experiments. The prototype is implemented on Java SE and wrapped by a GNU/Linux environment as a bootable ISO-image. Copyright 2014 ACM.";"Accessibility, API, Blind people, Java, Usability, User interfaces"
"Bodden E.";"TS4J: A fluent interface for defining and computing typestate analyses";"Typestate analyses determine whether a program's use of a given API obeys this API's usage constraints in the sense that the right methods are called on the right objects in the right order. Previously, we and others have described approaches that generate typestate analyses from textual finitestate property definitions written in specialized domainspecific languages. While such an approach is feasible, it requires a heavyweight compiler, hindering an effective integration into the programmer's development environment and thus often also into her software-development practice. Here we explain the design of a pure-Java interface facilitating both the definition and evaluation of typestate analyses. The interface is fluent, a term coined by Eric Evans and Martin Fowler. Fluent interfaces provide the user with the possibility to write method-invocation chains that almost read like natural-language text, in our case allowing for a seemingly declarative style of typestate definitions. In all previously described approaches, however, fluent APIs are used to build configuration objects. In this work, for the first time we show how to design a fluent API in such a way that it also encapsulates actual computation, not just configuration. We describe an implementation on top of Soot, Heros and Eclipse, which we are currently evaluating together with pilot customers in an industrial context at Fraunhofer SIT. © Copyright 2014 ACM.";"Dynamic Analysis, Fluent Interfaces, Static Analysis, Typestate"
"Akbar R.J., Omori T., Maruyama K.";"Mining API usage patterns by applying method categorization to improve code completion";"Developers often face difficulties while using APIs. API usage patterns can aid them in using APIs efficiently, which are extracted from source code stored in software repositories. Previous approaches have mined repositories to extract API usage patterns by simply applying data mining techniques to the collection of method invocations of API objects. In these approaches, respective functional roles of invoked methods within API objects are ignored. The functional role represents what type of purpose each method actually achieves, and a method has a specific predefined order of invocation in accordance with its role. Therefore, the simple application of conventional mining techniques fails to produce API usage patterns that are helpful for code completion. This paper proposes an improved approach that extracts API usage patterns at a higher abstraction level rather than directly mining the actual method invocations. It embraces a multilevel sequential mining technique and uses categorization of method invocations based on their functional roles. We have implemented a mining tool and an extended Eclipse's code completion facility with extracted API usage patterns. Evaluation results of this tool show that our approach improves existing code completion. © 2014 The Institute of Electronics, Information and Communication Engineers.";"Code completion, Recommendation, Sequential pattern mining, Software repositories"
"Zhu Z., Zou Y., Xie B., Jin Y., Lin Z., Zhang L.";"Mining API usage examples from test code";"Lack of effective usage examples in API documents has been proven to be a great obstacle to API learning. To deal with this issue, several approaches have been proposed to automatically extract usage examples from client code or related web pages, which are unfortunately not available for newly released API libraries. In this paper, we propose a novel approach to mining API usage examples from test code. Although test code can be a good source of usage examples, the issue of multiple test scenarios might lead to repetitive and interdependent API usages in a test method, which make it complicated and difficult to extract API usage examples. To address this issue, we study the JUnit test code and summarize a set of test code patterns. We employ a code pattern based heuristic slicing approach to separate test scenarios into code examples. Then we cluster the similar usage examples for recommendation. An evaluation on four open source software libraries demonstrates that the accuracy of our approach is much higher than the state-of-art approach eXoaDoc on test code. Furthermore, we have developed an Eclipse plug in tool UsETeC. © 2014 IEEE.";"API, code patterns, code slicing, test code, usage example"
"Watson R.";"Applying the cognitive dimensions of API usability to improve API documentation planning";"This interactive poster explores the application of the 12 cognitive dimensions of API usability to API documentation planning by using the dimensions to identify and characterize the factors that influence the documentation that the users of an API require. Many factors can complicate estimating and planning the documentation an API requires. Even when an API's documentation requirements can be estimated, it can be difficult to present to stakeholders an objective basis for the estimate. The cognitive dimensions of API usability have characterized APIs and their users successfully and they have been used to communicate these characterizations to stakeholders. It follows that the same dimensions could also help identify the documentation that an API requires to provide a satisfactory and successful experience for the software developers who use the API. © Copyright 2014 ACM.";"API, API reference documentation, Application programming interface, Software documentation, Software libraries"
"Ko D., Ma K., Park S., Kim S., Kim D., Traon Y.L.";"API document quality for resolving deprecated APIs";"Using deprecated APIs often results in security vulnerability or performance degradation. Thus, invocations to deprecated APIs should be immediately replaced by alternative APIs. To resolve deprecated APIs, most developers rely on API documents provided by service API libraries. However, the documents often do not have sufficient information. This makes many deprecated API usages remain unresolved, which leads programs to vulnerable states. This paper reports a result of studying document quality for deprecated APIs. We first collected 260 deprecated APIs of eight Java libraries as well as the corresponding API documents. These documents were manually investigated to figure out whether it provides alternative APIs, rationales, or examples. Then, we examined 2,126 API usages in 249 client applications and figured out whether those were resolved in the subsequent versions. This study revealed that 1) 3.6 APIs was deprecated and 3.6 deprecated APIs are removed from the library a month on average, 2) only 61% of API documents provided alternative APIs while rationale and examples were rarely documented, and 3) 62% of deprecate API usages in client applications were resolved if the corresponding API documents provided alternative APIs while 49% were resolved when the documents provided no alternative APIs. Based on these results, we draw future directions to encourage resolving deprecated APIs. © 2014 IEEE."
"Cardoso B., Romão T.";"The timeline as a programming interface";"The task of implementing meaningful reactive behavior in mobile applications is not trivial. To abstract over platform-specific details while writing expressive and legible code, we've developed EveWorks, a framework for context awareness that interfaces with the rest of the application code through statements written in a simple, interpreted language. In this work, we explain the conceptualization that stands at the core of our framework's language, inspired by one of the most ubiquitous representations of temporality, the timeline.";"API usability, Daily life event reaction, Framework, Mobile application development, Timeline"
"Nguyen A.T., Nguyen H.A., Nguyen T.T., Nguyen T.N.";"Statistical learning approach for mining API usage mappings for code migration";"The same software product nowadays could appear in multiple platforms and devices. To address business needs, software companies develop a software product in a programming language and then migrate it to another one. To support that process, semi-automatic migration tools have been proposed. However, they require users to manually define the mappings between the respective APIs of the libraries used in two languages. To reduce such manual effort, we introduce StaMiner, a novel data-driven approach that statistically learns the mappings between APIs from the corpus of the corresponding client code of the APIs in two languages Java and C#. Instead of using heuristics on the textual or structural similarity between APIs in two languages to map API methods and classes as in existing mining approaches, StaMiner is based on a statistical model that learns the mappings in such a corpus and provides mappings for APIs with all possible arities. Our empirical evaluation on several projects shows that StaMiner can detect API usage mappings with higher accuracy than a state-of-the-art approach. With the resulting API mappings mined by StaMiner, Java2CSharp, an existing migration tool, could achieve a higher level of accuracy. © 2014 ACM.";"API mappings, API usages, Code migration, Statistical learning"
