 Title  $ ﻿Authors  $ reviewer4 $ (3,)
 "Automated formal testing of C API using T2C framework"  $ "Khoroshilov A.V., Rubanov V.V., Shatokhin E.A."  $ reviewer4 $ (1,)
 "RSSE '08 - Proc. 2008 International Workshop on Recommendation Systems for Software Engineering, Co-located with the 16th ACM SIGSOFT International Symposium on the Foundations of Software Engineering"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "3rd International Symposium on Leveraging Applications of Formal Methods, Verification and Validation, ISoLA 2008"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "Remote sensing measurements of aerosol optical thickness and correlation with in-situ air quality parameters during a biomass burning episode in Southeast Asia"  $ "Chew B.N., Chang C.W., Salinas S.V., Liew S.C."  $ reviewer4 $ (0,)
 "Ruby, PHP, Perl, Python: A web efficiency comparison"  $ "Eggen R., Jones C., Eggen M."  $ reviewer4 $ (1,)
 "Texture mapping of 3-D building models using pose estimation of digital photographs"  $ "Tan Y.K.A., Kwoh L.K., Ong S.H."  $ reviewer4 $ (0,)
 "An aspect-oriented software architecture for code mobility"  $ "Lobato C., Garcia A., Romanovsky A., Lucena C."  $ reviewer4 $ (0,)
 "Evaluating the reference and representation of domain concepts in APIs"  $ "Ratiu D., Jürjens J."  $ reviewer4 $ (1,)
 "Optimizing non-blocking collective operations for InfiniBand"  $ "Hoefler T., Lumsdaine A."  $ reviewer4 $ (0,)
 "ScienceTreks: An autonomous digital library system"  $ "Ivanyukovich A., Marchese M., Giunchiglia F."  $ reviewer4 $ (0,)
 "Massively multi-robot simulation in stage"  $ "Vaughan R."  $ reviewer4 $ (0,)
 "Analyzing stripped device-driver executables"  $ "Balakrishnan G., Reps T."  $ reviewer4 $ (0,)
 "Towards simplifying grid enablement for scientific applications"  $ "Song Y., Tanaka Y., Nakada H., Sekiguchi S."  $ reviewer4 $ (0,)
 "Distributed dynamic partial order reduction based verification of threaded software"  $ "Yang Y., Chen X., Gopalakrishnan G., Kirby R.M."  $ reviewer4 $ (0,)
 "Mining API patterns as partial orders from source code: From usage scenarios to specifications"  $ "Acharya M., Xie T., Pei J., Xu J."  $ reviewer4 $ ()
 "Stream data management based on integration of a stream processing engine and databases"  $ "Kitagawa H., Watanabe Y."  $ reviewer4 $ (0,)
 "An adaptation manager for personalized mobile web searches"  $ "Woemdl W., Yousef H."  $ reviewer4 $ (0,)
 "Application of visual programming to Web mash up development"  $ "Lim S.C., Lowe S., Koempel J."  $ reviewer4 $ (0,)
 "Usability implications of requiring parameters in objects' constructors"  $ "Stylos J., Clarke S."  $ reviewer4 $ ()
 "Garuda: A scalable tiled display wall using commodity PCs"  $ "Nirnimesh, Harish P., Narayanan P.J."  $ reviewer4 $ (0,)
 "MAPO: Mining API usages from open source repositories"  $ "Xie T., Pei J."  $ reviewer4 $ ()
 "Thorough static analysis of device drivers"  $ "Ball T., Bounimova E., Cook B., Levin V., Lichtenberg J., McGarvey C., Ondrusek B., Rajamani S.K., Ustuner A."  $ reviewer4 $ (1,)
 "Approximate structural context matching: An approach to recommend relevant examples"  $ "Holmes R., Walker R.J., Murphy G.C."  $ reviewer4 $ ()
 "Informing API design through usability studies of API design choices: A research abstract"  $ "Stylos J."  $ reviewer4 $ ()
 "A modular implementation framework for code mobility"  $ "Lobato C., Garcia A., Lucena C., Romanovsky A."  $ reviewer4 $ (1,)
 "A modular implementation framework for code mobility"  $ "Lobato C., Garcia A., Lucena C., Romanovsky A."  $ reviewer4 $ (1,)
 "Proceedings of the 3rd International Conference on Mobile Technology, Applications and Systems"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "Supporting content scheduling on situated public displays"  $ "Storz O., Friday A., Davies N."  $ reviewer4 $ (0,)
 "Self-adaptive hints for collective I/O"  $ "Worringen J."  $ reviewer4 $ (1,)
 "On the usability of high-level parallel IO in unstructured grid simulations"  $ "Kimpe D., Vandewalle S., Poedts S."  $ reviewer4 $ ()
 "A java API for global querying and updates for a system of databases"  $ "Sunderraman R., Dogdu E., Madiraju P., Malladi L."  $ reviewer4 $ (1,)
 "Stenning's protocol implemented in UDP and verified in Isabelle"  $ "Compton M."  $ reviewer4 $ (0,)
 "From theory to practice in transactional composition of Web Services"  $ "Bruni R., Ferrari G., Melgratti H., Montanari U., Strollo D., Tuosto E."  $ reviewer4 $ (0,)
 "Causeway: Support for controlling and analyzing the execution of multi-tier applications"  $ "Chanda A., Elmeleegy K., Cox A.L., Zwaenepoel W."  $ reviewer4 $ (0,)
 "Keyjacking: The surprising insecurity of client-side SSL"  $ "Marchesini J., Smith S.W., Zhao M."  $ reviewer4 $ (0,)
 "Incorporation of middleware and grid technologies to enhance usability in computational chemistry applications"  $ "Greenberg J.P., Mock S., Bhatia K., Katz M., Bruno G., Sacerdoti F., Papadopoulos P., Baldridge K.K."  $ reviewer4 $ (0,)
 "Measuring API Usability"  $ "Clarke S."  $ reviewer4 $ ()
 "A CORBA-based distributed real-time crane simulator with 3D visualization"  $ "Zheng Z., Sepehri N."  $ reviewer4 $ (0,)
 "Robotic control & 3D GUIs"  $ "Jones H., Snyder M."  $ reviewer4 $ (0,)
 "Extending relational data access programming libraries for fuzziness: The fJDBC framework"  $ "Sicilia M.-A., García E., Díaz P., Aedo I."  $ reviewer4 $ (1,)
 "Creating Java to native code interfaces with Janet"  $ "Bubak M., Kurzyniec D., Luszczek P., Sunderam V."  $ reviewer4 $ (0,)
 "Easy concurrency"  $ "Aizman A."  $ reviewer4 $ (1,)
 "Software's invisible users"  $ "Whittaker J.A."  $ reviewer4 $ (0,)
 "Towards a full formal specification of the javacard API"  $ "Meijer H., Poll E."  $ reviewer4 $ (1,)
 "Lean-server foundation for collaborative design"  $ "Hale M.A., Mavris D.N."  $ reviewer4 $ (1,)
 "Prose + test cases = specifications"  $ "Hoffman D., Strooper P."  $ reviewer4 $ ()
 "Design of Holmes: a tool for domain analysis and engineering"  $ "Succi G., Eberlein A., Yip J., Luc K., Nguy M., Tan Y."  $ reviewer4 $ (1,)
 "Java and digital images"  $ "Martin David H., Martin Johnny"  $ reviewer4 $ (0,)
 "A usability study of end-user construction of distributed multimedia applications"  $ "McCartney T.P."  $ reviewer4 $ ()
 "Shopping models: a flexible architecture for information commerce"  $ "Ketchpel S.P., Garcia-Molina H., Paepcke A."  $ reviewer4 $ (1,)
 "A management architecture based on network topology information"  $ "Oliveira J.L., Martins J.A."  $ reviewer4 $ (1,)
 "Software Reviews: Test plus"  $ "Hilgert L.D."  $ reviewer4 $ (1,)
